Spectrum Name:,,,,,,,,,Channel,Energy,Counts,Gross,LN(count),Absorption-Thickness
,,,,,,,,,376,,108,,,
,,,,,,,,,377,,108,,,
,,,,,,,,,378,,109,,,
,,,,,,,,,379,,115,,,
,,,,,,,,,380,,123,,,
,,,,,,,,,381,,90,,,
,,,,,,,,,382,,109,,,
,,,,,,,,,383,,127,,,
,,,,,,,,,384,,112,,,
,,,,,,,,,385,,111,,,
,,,,,,,,,386,,110,,,
,,,,,,,,,387,,127,,,
,,,,,,,,,388,,117,,,
,,,,,,,,,389,,122,,,
,,,,,,,,,390,,101,,,
,,,,,,,,,391,,111,,,
,,,,,,,,,392,,95,,,
,,,,,,,,,393,,121,,,
,,,,,,,,,394,,112,,,
,,,,,,,,,395,,106,,,
,,,,,,,,,396,,117,,,
,,,,,,,,,397,,127,,,
,,,,,,,,,398,,114,,,
,,,,,,,,,399,,119,,,
,,,,,,,,,400,,88,,,
,,,,,,,,,401,,108,,,
,,,,,,,,,402,,96,,,
,,,,,,,,,403,,97,,,
,,,,,,,,,404,,111,,,
,,,,,,,,,405,,100,,,
,,,,,,,,,406,,111,,,
,,,,,,,,,407,,101,,,
,,,,,,,,,408,,106,,,
,,,,,,,,,409,,133,,,
,,,,,,,,,410,,105,,,
,,,,,,,,,411,,108,,,
,,,,,,,,,412,,113,,,
,,,,,,,,,413,,91,,,
,,,,,,,,,414,,117,,,
,,,,,,,,,415,,95,,,
,,,,,,,,,416,,105,,,
,,,,,,,,,417,,116,,,
,,,,,,,,,418,,114,,,
,,,,,,,,,419,,91,,,
,,,,,,,,,420,,112,,,
,,,,,,,,,421,,112,,,
,,,,,,,,,422,,121,,,
,,,,,,,,,423,,129,,,
,,,,,,,,,424,,91,,,
,,,,,,,,,425,,116,,,
,,,,,,,,,426,,116,,,
,,,,,,,,,427,,120,,,
,,,,,,,,,428,,89,,,
,,,,,,,,,429,,121,,,
,,,,,,,,,430,,110,,,
,,,,,,,,,431,,93,,,
,,,,,,,,,432,,121,,,
,,,,,,,,,433,,96,,,
,,,,,,,,,434,,106,,,
,,,,,,,,,435,,96,,,
,,,,,,,,,436,,108,,,
,,,,,,,,,437,,104,,,
,,,,,,,,,438,,101,,,
,,,,,,,,,439,,129,,,
,,,,,,,,,440,,110,,,
,,,,,,,,,441,,125,,,
,,,,,,,,,442,,99,,,
,,,,,,,,,443,,95,,,
,,,,,,,,,444,,85,,,
,,,,,,,,,445,,100,,,
,,,,,,,,,446,,90,,,
,,,,,,,,,447,,112,,,
,,,,,,,,,448,,108,,,
,,,,,,,,,449,,122,,,
,,,,,,,,,450,,114,,,
,,,,,,,,,451,,103,,,
,,,,,,,,,452,,100,,,
,,,,,,,,,453,,101,,,
,,,,,,,,,454,,112,,,
,,,,,,,,,455,,109,,,
,,,,,,,,,456,,129,,,
,,,,,,,,,457,,101,,,
,,,,,,,,,458,,139,,,
,,,,,,,,,459,,118,,,
,,,,,,,,,460,,116,,,
,,,,,,,,,461,,120,,,
,,,,,,,,,462,,120,,,
,,,,,,,,,463,,105,,,
,,,,,,,,,464,,115,,,
,,,,,,,,,465,,112,,,
,,,,,,,,,466,,123,,,
,,,,,,,,,467,,105,,,
,,,,,,,,,468,,100,,,
,,,,,,,,,469,,111,,,
,,,,,,,,,470,,102,,,
,,,,,,,,,471,,115,,,
,,,,,,,,,472,,106,,,
,,,,,,,,,473,,87,,,
,,,,,,,,,474,,101,,,
,,,,,,,,,475,,89,,,
,,,,,,,,,476,,136,,,
,,,,,,,,,477,,133,,,
,,,,,,,,,478,,103,,,
